time,geo,variable,value
2020-03-04,zrh_schmls,pm10,9.73
2020-03-04,zrh_stmpf,kbi,1
2020-03-04,zrh_stmpf,kbi_no2,1
2020-03-04,zrh_stmpf,kbi_o3,1
2020-03-04,zrh_stmpf,kbi_pm10,1
2020-03-04,zrh_stmpf,no2,28.89
2020-03-04,zrh_stmpf,o3_max_h,72.36
2020-03-04,zrh_stmpf,p,962.3
2020-03-04,zrh_stmpf,pm10,6.85
2020-03-04,zrh_stmpf,t,5.8
2020-03-05,zrh_heub,no2,14.29
2020-03-05,zrh_heub,o3_max_h,88.99
2020-03-05,zrh_rsgrt,kbi,1
2020-03-05,zrh_rsgrt,kbi_no2,1
2020-03-05,zrh_rsgrt,kbi_o3,1
2020-03-05,zrh_rsgrt,kbi_pm10,1
2020-03-05,zrh_rsgrt,no2,56.08
2020-03-05,zrh_rsgrt,o3_max_h,67.78
2020-03-05,zrh_rsgrt,pm10,10.34
2020-03-05,zrh_schmls,kbi,1
2020-03-05,zrh_schmls,kbi_no2,1
2020-03-05,zrh_schmls,kbi_o3,1
2020-03-05,zrh_schmls,kbi_pm10,1
2020-03-05,zrh_schmls,no2,40.4
2020-03-05,zrh_schmls,o3_max_h,79.53
2020-03-05,zrh_schmls,pm10,8.15
2020-03-05,zrh_stmpf,kbi,1
2020-03-05,zrh_stmpf,kbi_no2,1
2020-03-05,zrh_stmpf,kbi_o3,1
2020-03-05,zrh_stmpf,kbi_pm10,1
2020-03-05,zrh_stmpf,no2,35.49
2020-03-05,zrh_stmpf,o3_max_h,84.15
2020-03-05,zrh_stmpf,p,950.03
2020-03-05,zrh_stmpf,pm10,6.2
2020-03-05,zrh_stmpf,t,6.03
2020-03-06,zrh_heub,no2,4.96
2020-03-06,zrh_heub,o3_max_h,82.71
2020-03-06,zrh_rsgrt,kbi,1
2020-03-06,zrh_rsgrt,kbi_no2,1
2020-03-06,zrh_rsgrt,kbi_o3,1
2020-03-06,zrh_rsgrt,kbi_pm10,1
2020-03-06,zrh_rsgrt,no2,27.39
2020-03-06,zrh_rsgrt,o3_max_h,75.89
2020-03-06,zrh_rsgrt,pm10,7.75
2020-03-06,zrh_schmls,kbi,1
2020-03-06,zrh_schmls,kbi_no2,1
2020-03-06,zrh_schmls,kbi_o3,1
2020-03-06,zrh_schmls,kbi_pm10,1
2020-03-06,zrh_schmls,no2,11.62
2020-03-06,zrh_schmls,o3_max_h,80.94
2020-03-06,zrh_schmls,pm10,5.49
2020-03-06,zrh_stmpf,kbi,1
2020-03-06,zrh_stmpf,kbi_no2,1
2020-03-06,zrh_stmpf,kbi_o3,1
2020-03-06,zrh_stmpf,kbi_pm10,1
2020-03-06,zrh_stmpf,no2,8.86
