time,group,geo,value
2020-01-03,tages_distanz_2-10km_alter_6579,ch,29.4942464537569
2020-01-03,tages_distanz_20-50km,ch,23.9240105192083
2020-01-03,tages_distanz_20-50km_alter_1529,ch,22.2326191716107
2020-01-03,tages_distanz_20-50km_alter_3064,ch,25.138344893803
2020-01-03,tages_distanz_20-50km_alter_6579,ch,21.2534426809246
2020-01-03,tages_distanz_50-100km,ch,14.7625337451277
2020-01-03,tages_distanz_50-100km_alter_1529,ch,18.6115576094803
2020-01-03,tages_distanz_50-100km_alter_3064,ch,15.7016256387023
2020-01-03,tages_distanz_50-100km_alter_6579,ch,5.0271218816139
2020-01-03,tages_distanz_weniger2km,ch,13.7872819066663
2020-01-03,tages_distanz_weniger2km_alter_1529,ch,13.2752962865768
2020-01-03,tages_distanz_weniger2km_alter_3064,ch,12.7915873919607
2020-01-03,tages_distanz_weniger2km_alter_6579,ch,18.801198847439
2020-01-03,total,ch,21.3255593792048
2020-01-03,total,rural,26.2589614563193
2020-01-03,total,urban,16.7305427590698
2020-01-03,total,zh,19.5064528119567
2020-01-03,weiblich,ch,20.541973734657
2020-01-04,alter_1529,ch,20.8775398635189
2020-01-04,alter_3064,ch,15.9018210341782
2020-01-04,alter_6579,ch,6.75368129009579
2020-01-04,erwerbstaetig,ch,16.6295595849261
2020-01-04,in_ausbildung,ch,18.9988212383122
2020-01-04,maennlich,ch,15.9672636984435
2020-01-04,nicht_erwerbstaetig,ch,7.07432092770334
2020-01-04,tages_distanz_10-20km,ch,15.5216861075934
2020-01-04,tages_distanz_10-20km_alter_1529,ch,13.574935664545
2020-01-04,tages_distanz_10-20km_alter_3064,ch,16.4380075322389
2020-01-04,tages_distanz_10-20km_alter_6579,ch,14.4878310766741
2020-01-04,tages_distanz_100pluskm,ch,11.2144434966612
2020-01-04,tages_distanz_100pluskm_alter_1529,ch,14.4314799699663
2020-01-04,tages_distanz_100pluskm_alter_3064,ch,11.0774496339829
2020-01-04,tages_distanz_100pluskm_alter_6579,ch,6.98148265842186
2020-01-04,tages_distanz_2-10km,ch,20.9376265941876
2020-01-04,tages_distanz_2-10km_alter_1529,ch,17.5067965231145
2020-01-04,tages_distanz_2-10km_alter_3064,ch,20.6372616419652
2020-01-04,tages_distanz_2-10km_alter_6579,ch,27.3779374991496
2020-01-04,tages_distanz_20-50km,ch,20.3276101010746
2020-01-04,tages_distanz_20-50km_alter_1529,ch,21.806745850652
2020-01-04,tages_distanz_20-50km_alter_3064,ch,20.4841175225961
2020-01-04,tages_distanz_20-50km_alter_6579,ch,17.4344700784804
2020-01-04,tages_distanz_50-100km,ch,11.6876139352617
2020-01-04,tages_distanz_50-100km_alter_1529,ch,14.6345626389199
2020-01-04,tages_distanz_50-100km_alter_3064,ch,12.0020007300238
2020-01-04,tages_distanz_50-100km_alter_6579,ch,5.91239384346437
2020-01-04,tages_distanz_weniger2km,ch,20.3110197652215
2020-01-04,tages_distanz_weniger2km_alter_1529,ch,18.0454793528023
2020-01-04,tages_distanz_weniger2km_alter_3064,ch,19.3611629391931
2020-01-04,tages_distanz_weniger2km_alter_6579,ch,27.8058848438096
2020-01-04,total,ch,15.581122191986
2020-01-04,total,rural,18.1652226007535
2020-01-04,total,urban,13.0237477530539
2020-01-04,total,zh,12.143153832259
2020-01-04,weiblich,ch,14.7168673617163
2020-01-05,alter_1529,ch,20.175388952421
2020-01-05,alter_3064,ch,10.8894020488096
2020-01-05,alter_6579,ch,6.93942116875884
2020-01-05,erwerbstaetig,ch,13.0219719387729
2020-01-05,in_ausbildung,ch,16.1159862680684
2020-01-05,maennlich,ch,11.2608123837811
2020-01-05,nicht_erwerbstaetig,ch,6.60009273721607
2020-01-05,tages_distanz_10-20km,ch,13.1964377696184
2020-01-05,tages_distanz_10-20km_alter_1529,ch,9.260706963607
2020-01-05,tages_distanz_10-20km_alter_3064,ch,13.9044415866476
2020-01-05,tages_distanz_10-20km_alter_6579,ch,16.1178258053599
2020-01-05,tages_distanz_100pluskm,ch,10.6422892833262
2020-01-05,tages_distanz_100pluskm_alter_1529,ch,12.7020057907285
2020-01-05,tages_distanz_100pluskm_alter_3064,ch,10.3380704839818
2020-01-05,tages_distanz_100pluskm_alter_6579,ch,8.81516969670518
2020-01-05,tages_distanz_2-10km,ch,22.1087180139419
2020-01-05,tages_distanz_2-10km_alter_1529,ch,18.1369627489159
2020-01-05,tages_distanz_2-10km_alter_3064,ch,22.5811375836182
2020-01-05,tages_distanz_2-10km_alter_6579,ch,26.1456572012986
2020-01-05,tages_distanz_20-50km,ch,17.5147968002879
2020-01-05,tages_distanz_20-50km_alter_1529,ch,21.8419413274664
2020-01-05,tages_distanz_20-50km_alter_3064,ch,16.9910725979805
2020-01-05,tages_distanz_20-50km_alter_6579,ch,13.1572660340063
2020-01-05,tages_distanz_50-100km,ch,11.1087359386666
2020-01-05,tages_distanz_50-100km_alter_1529,ch,15.8079750750215
2020-01-05,tages_distanz_50-100km_alter_3064,ch,10.6456094629279
2020-01-05,tages_distanz_50-100km_alter_6579,ch,5.90135780844316
2020-01-05,tages_distanz_weniger2km,ch,25.4290221941589
2020-01-05,tages_distanz_weniger2km_alter_1529,ch,22.2504080942608
2020-01-05,tages_distanz_weniger2km_alter_3064,ch,25.5396682848441
2020-01-05,tages_distanz_weniger2km_alter_6579,ch,29.8627234541869
2020-01-05,total,ch,11.7710012713322
2020-01-05,total,rural,12.6881628819669
