time,availability,geo,value
2019-01-22,immediate,gr,1396
2019-01-22,immediate,ju,984
2019-01-22,immediate,lu,2176
2019-01-22,immediate,ne,3237
2019-01-22,immediate,nw,105
2019-01-22,immediate,ow,67
2019-01-22,immediate,sg,2550
2019-01-22,immediate,sh,1001
2019-01-22,immediate,so,1830
2019-01-22,immediate,sz,726
2019-01-22,immediate,tg,1461
2019-01-22,immediate,ti,5147
2019-01-22,immediate,tot,85255
2019-01-22,immediate,ur,214
2019-01-22,immediate,vd,11567
2019-01-22,immediate,vs,6903
2019-01-22,immediate,zg,642
2019-01-22,immediate,zh,15911
2019-01-22,tot,ag,11507
2019-01-22,tot,ai,125
2019-01-22,tot,ar,656
2019-01-22,tot,be,11510
2019-01-22,tot,bl,4224
2019-01-22,tot,bs,3785
2019-01-22,tot,fr,6766
2019-01-22,tot,ge,13230
2019-01-22,tot,gl,486
2019-01-22,tot,gr,2487
2019-01-22,tot,ju,1853
2019-01-22,tot,lu,4984
2019-01-22,tot,ne,4898
2019-01-22,tot,nw,370
2019-01-22,tot,ow,241
2019-01-22,tot,sg,7886
2019-01-22,tot,sh,1716
2019-01-22,tot,so,4176
2019-01-22,tot,sz,1792
2019-01-22,tot,tg,4162
2019-01-22,tot,ti,9467
2019-01-22,tot,tot,158339
2019-01-22,tot,ur,301
2019-01-22,tot,vd,21861
2019-01-22,tot,vs,9882
2019-01-22,tot,zg,2202
2019-01-22,tot,zh,27457
2019-01-23,immediate,ag,5860
2019-01-23,immediate,ai,91
2019-01-23,immediate,ar,206
2019-01-23,immediate,be,5757
2019-01-23,immediate,bl,2168
2019-01-23,immediate,bs,2377
2019-01-23,immediate,fr,3680
2019-01-23,immediate,ge,8908
2019-01-23,immediate,gl,227
2019-01-23,immediate,gr,1413
2019-01-23,immediate,ju,987
2019-01-23,immediate,lu,2176
2019-01-23,immediate,ne,3245
2019-01-23,immediate,nw,107
2019-01-23,immediate,ow,69
2019-01-23,immediate,sg,2553
2019-01-23,immediate,sh,1002
2019-01-23,immediate,so,1827
2019-01-23,immediate,sz,729
2019-01-23,immediate,tg,1469
2019-01-23,immediate,ti,5155
2019-01-23,immediate,tot,85536
2019-01-23,immediate,ur,218
2019-01-23,immediate,vd,11615
2019-01-23,immediate,vs,6930
2019-01-23,immediate,zg,651
2019-01-23,immediate,zh,15943
2019-01-23,tot,ag,11580
2019-01-23,tot,ai,124
2019-01-23,tot,ar,660
2019-01-23,tot,be,11523
2019-01-23,tot,bl,4251
2019-01-23,tot,bs,3802
2019-01-23,tot,fr,6794
2019-01-23,tot,ge,13264
2019-01-23,tot,gl,489
2019-01-23,tot,gr,2504
2019-01-23,tot,ju,1854
2019-01-23,tot,lu,4994
2019-01-23,tot,ne,4915
2019-01-23,tot,nw,374
2019-01-23,tot,ow,243
2019-01-23,tot,sg,7903
2019-01-23,tot,sh,1723
2019-01-23,tot,so,4179
2019-01-23,tot,sz,1797
2019-01-23,tot,tg,4175
2019-01-23,tot,ti,9493
2019-01-23,tot,tot,158863
2019-01-23,tot,ur,305
2019-01-23,tot,vd,21912
2019-01-23,tot,vs,9919
2019-01-23,tot,zg,2216
2019-01-23,tot,zh,27558
2019-01-24,immediate,ag,5943
2019-01-24,immediate,ai,91
2019-01-24,immediate,ar,212
2019-01-24,immediate,be,5845
2019-01-24,immediate,bl,2217
2019-01-24,immediate,bs,2455
2019-01-24,immediate,fr,3726
2019-01-24,immediate,ge,9040
2019-01-24,immediate,gl,225
2019-01-24,immediate,gr,1422
2019-01-24,immediate,ju,1008
2019-01-24,immediate,lu,2195
2019-01-24,immediate,ne,3306
2019-01-24,immediate,nw,108
2019-01-24,immediate,ow,72
2019-01-24,immediate,sg,2576
2019-01-24,immediate,sh,1027
2019-01-24,immediate,so,1846
2019-01-24,immediate,sz,734
2019-01-24,immediate,tg,1493
2019-01-24,immediate,ti,5178
2019-01-24,immediate,tot,86896
2019-01-24,immediate,ur,221
2019-01-24,immediate,vd,11656
2019-01-24,immediate,vs,6935
2019-01-24,immediate,zg,656
2019-01-24,immediate,zh,16531
2019-01-24,tot,ag,11655
2019-01-24,tot,ai,124
2019-01-24,tot,ar,666
2019-01-24,tot,be,11570
2019-01-24,tot,bl,4257
2019-01-24,tot,bs,3809
2019-01-24,tot,fr,6806
2019-01-24,tot,ge,13276
2019-01-24,tot,gl,488
2019-01-24,tot,gr,2507
2019-01-24,tot,ju,1860
2019-01-24,tot,lu,5006
2019-01-24,tot,ne,4938
2019-01-24,tot,nw,376
2019-01-24,tot,ow,246
2019-01-24,tot,sg,7911
2019-01-24,tot,sh,1723
2019-01-24,tot,so,4195
2019-01-24,tot,sz,1807
2019-01-24,tot,tg,4198
2019-01-24,tot,ti,9512
2019-01-24,tot,tot,159222
2019-01-24,tot,ur,308
2019-01-24,tot,vd,21956
2019-01-24,tot,vs,9896
2019-01-24,tot,zg,2216
2019-01-24,tot,zh,27609
2019-01-25,immediate,ag,5962
2019-01-25,immediate,ai,91
2019-01-25,immediate,ar,216
2019-01-25,immediate,be,5853
2019-01-25,immediate,bl,2216
2019-01-25,immediate,bs,2463
2019-01-25,immediate,fr,3752
2019-01-25,immediate,ge,9049
2019-01-25,immediate,gl,225
2019-01-25,immediate,gr,1435
2019-01-25,immediate,ju,1008
2019-01-25,immediate,lu,2206
2019-01-25,immediate,ne,3308
2019-01-25,immediate,nw,107
2019-01-25,immediate,ow,73
2019-01-25,immediate,sg,2583
2019-01-25,immediate,sh,1021
2019-01-25,immediate,so,1858
2019-01-25,immediate,sz,735
2019-01-25,immediate,tg,1495
2019-01-25,immediate,ti,5198
2019-01-25,immediate,tot,87086
2019-01-25,immediate,ur,222
2019-01-25,immediate,vd,11715
2019-01-25,immediate,vs,6940
2019-01-25,immediate,zg,659
2019-01-25,immediate,zh,16524
2019-01-25,tot,ag,11671
2019-01-25,tot,ai,124
2019-01-25,tot,ar,670
2019-01-25,tot,be,11588
2019-01-25,tot,bl,4269
2019-01-25,tot,bs,3829
2019-01-25,tot,fr,6833
2019-01-25,tot,ge,13302
2019-01-25,tot,gl,489
2019-01-25,tot,gr,2518
2019-01-25,tot,ju,1861
2019-01-25,tot,lu,5029
2019-01-25,tot,ne,4939
2019-01-25,tot,nw,373
