time,variable,value
2020-02-27,betrag_kktrans_ausl,3.33e+08
2020-02-27,betrag_kktrans_ausl_distanz,1.96e+11
2020-02-27,betrag_kktrans_ch,4.77e+08
2020-02-27,betrag_kktrans_ch_distanz,1.24e+11
2020-02-27,betrag_kktrans_ch_praes,3.53e+08
2020-02-27,betrag_kktrans_ch_praes_contactless,1.35e+08
2020-03-05,anz_kkrans_ausl,3274000
2020-03-05,anz_kktrans_ausl_distanz,1974000
2020-03-05,anz_kktrans_ch,6313000
2020-03-05,anz_kktrans_ch_distanz,1575000
2020-03-05,anz_kktrans_ch_praes,4739000
2020-03-05,anz_kktrans_ch_praes_contactless,2778000
2020-03-05,betrag_kktrans_ausl,2.87e+08
2020-03-05,betrag_kktrans_ausl_distanz,1.73e+11
2020-03-05,betrag_kktrans_ch,4.41e+08
2020-03-05,betrag_kktrans_ch_distanz,1.18e+11
2020-03-05,betrag_kktrans_ch_praes,3.25e+08
2020-03-05,betrag_kktrans_ch_praes_contactless,1.28e+08
2020-03-12,anz_kkrans_ausl,2714000
2020-03-12,anz_kktrans_ausl_distanz,1695000
2020-03-12,anz_kktrans_ch,6192000
2020-03-12,anz_kktrans_ch_distanz,1364000
2020-03-12,anz_kktrans_ch_praes,4827000
2020-03-12,anz_kktrans_ch_praes_contactless,2845000
2020-03-12,betrag_kktrans_ausl,2.02e+08
2020-03-12,betrag_kktrans_ausl_distanz,1.17e+11
2020-03-12,betrag_kktrans_ch,4.57e+08
2020-03-12,betrag_kktrans_ch_distanz,1.11e+11
2020-03-12,betrag_kktrans_ch_praes,3.47e+08
2020-03-12,betrag_kktrans_ch_praes_contactless,1.48e+08
2020-03-19,anz_kkrans_ausl,2373000
2020-03-19,anz_kktrans_ausl_distanz,1751000
2020-03-19,anz_kktrans_ch,4061000
2020-03-19,anz_kktrans_ch_distanz,1158000
2020-03-19,anz_kktrans_ch_praes,2902000
2020-03-19,anz_kktrans_ch_praes_contactless,1727000
2020-03-19,betrag_kktrans_ausl,1.42e+08
2020-03-19,betrag_kktrans_ausl_distanz,1.07e+11
2020-03-19,betrag_kktrans_ch,3e+08
2020-03-19,betrag_kktrans_ch_distanz,1.35e+11
2020-03-19,betrag_kktrans_ch_praes,1.66e+08
2020-03-19,betrag_kktrans_ch_praes_contactless,7.5e+07
2020-03-26,anz_kkrans_ausl,2415000
2020-03-26,anz_kktrans_ausl_distanz,1867000
2020-03-26,anz_kktrans_ch,3880000
2020-03-26,anz_kktrans_ch_distanz,1338000
2020-03-26,anz_kktrans_ch_praes,2541000
2020-03-26,anz_kktrans_ch_praes_contactless,1525000
2020-03-26,betrag_kktrans_ausl,1.54e+08
2020-03-26,betrag_kktrans_ausl_distanz,1.26e+11
2020-03-26,betrag_kktrans_ch,3.06e+08
2020-03-26,betrag_kktrans_ch_distanz,1.58e+11
2020-03-26,betrag_kktrans_ch_praes,1.48e+08
2020-03-26,betrag_kktrans_ch_praes_contactless,6.8e+07
2020-04-02,anz_kkrans_ausl,2464000
2020-04-02,anz_kktrans_ausl_distanz,1921000
2020-04-02,anz_kktrans_ch,4254000
2020-04-02,anz_kktrans_ch_distanz,1441000
2020-04-02,anz_kktrans_ch_praes,2812000
2020-04-02,anz_kktrans_ch_praes_contactless,1696000
2020-04-02,betrag_kktrans_ausl,1.52e+08
2020-04-02,betrag_kktrans_ausl_distanz,1.25e+11
2020-04-02,betrag_kktrans_ch,3.43e+08
2020-04-02,betrag_kktrans_ch_distanz,1.74e+11
2020-04-02,betrag_kktrans_ch_praes,1.7e+08
2020-04-02,betrag_kktrans_ch_praes_contactless,7.8e+07
2020-04-09,anz_kkrans_ausl,2333000
2020-04-09,anz_kktrans_ausl_distanz,1813000
2020-04-09,anz_kktrans_ch,3913000
2020-04-09,anz_kktrans_ch_distanz,1259000
2020-04-09,anz_kktrans_ch_praes,2655000
2020-04-09,anz_kktrans_ch_praes_contactless,1623000
2020-04-09,betrag_kktrans_ausl,1.41e+08
2020-04-09,betrag_kktrans_ausl_distanz,1.15e+11
2020-04-09,betrag_kktrans_ch,2.93e+08
2020-04-09,betrag_kktrans_ch_distanz,1.36e+11
2020-04-09,betrag_kktrans_ch_praes,1.58e+08
2020-04-09,betrag_kktrans_ch_praes_contactless,7.5e+07
