time,variable,value
2020-04-24,ch.kof.mobind,-21.8551351761293
2020-04-25,ch.kof.mobind,-21.2747069406276
2020-04-26,ch.kof.mobind,-20.6942787051259
2020-04-27,ch.kof.mobind,-20.6283694381186
2020-04-28,ch.kof.mobind,-20.5624601711113
2020-04-29,ch.kof.mobind,-20.5452356095259
2020-04-30,ch.kof.mobind,-20.5280110479405
2020-05-01,ch.kof.mobind,-20.391192611931
2020-05-02,ch.kof.mobind,-20.2543741759215
2020-05-03,ch.kof.mobind,-19.7186630257392
2020-05-04,ch.kof.mobind,-19.1829518755569
2020-05-05,ch.kof.mobind,-18.2910919982316
2020-05-06,ch.kof.mobind,-17.3992321209063
2020-05-07,ch.kof.mobind,-16.6426053590276
2020-05-08,ch.kof.mobind,-15.8859785971489
2020-05-09,ch.kof.mobind,-15.1667318673132
2020-05-10,ch.kof.mobind,-14.4474851374775
2020-05-11,ch.kof.mobind,-13.8746971459186
2020-05-12,ch.kof.mobind,-13.3019091543596
2020-05-13,ch.kof.mobind,-12.7765551873167
2020-05-14,ch.kof.mobind,-12.2512012202738
2020-05-15,ch.kof.mobind,-11.6055457934765
2020-05-16,ch.kof.mobind,-10.9598903666792
2020-05-17,ch.kof.mobind,-10.5423896151071
2020-05-18,ch.kof.mobind,-10.1248888635351
2020-05-19,ch.kof.mobind,-10.4135424384175
2020-05-20,ch.kof.mobind,-10.7021960132999
2020-05-21,ch.kof.mobind,-11.1105016714711
2020-05-22,ch.kof.mobind,-11.5188073296423
2020-05-23,ch.kof.mobind,-12.0301200907251
2020-05-24,ch.kof.mobind,-12.5414328518079
