time,sa,value
2011-03-09,sa,92.1
2011-03-10,nsa,131.4
2011-03-10,sa,92.8
2011-03-11,nsa,112.6
2011-03-11,sa,93.6
2011-03-12,nsa,40
2011-03-12,sa,94.3
2011-03-13,nsa,14.4
2011-03-13,sa,93.4
2011-03-14,nsa,119.3
2011-03-14,sa,93.6
2011-03-15,nsa,135.4
2011-03-15,sa,93.2
2011-03-16,nsa,135.2
2011-03-16,sa,92.5
2011-03-17,nsa,134.1
2011-03-17,sa,93.1
2011-03-18,nsa,113.5
2011-03-18,sa,92.1
2011-03-19,nsa,40.4
2011-03-19,sa,92.1
2011-03-20,nsa,14.5
2011-03-20,sa,92.6
2011-03-21,nsa,119.2
2011-03-21,sa,92.2
2011-03-22,nsa,135.4
2011-03-22,sa,91.9
2011-03-23,nsa,137.6
2011-03-23,sa,92.8
2011-03-24,nsa,135
2011-03-24,sa,92.8
2011-03-25,nsa,115.5
2011-03-25,sa,92.6
2011-03-26,nsa,41
2011-03-26,sa,92.4
2011-03-27,nsa,14.3
2011-03-27,sa,92
2011-03-28,nsa,120.4
2011-03-28,sa,92.3
2011-03-29,nsa,137.7
2011-03-29,sa,91.7
2011-03-30,nsa,139
2011-03-30,sa,92.1
2011-03-31,nsa,135.3
2011-03-31,sa,92
2011-04-01,nsa,116.6
2011-04-01,sa,91.5
2011-04-02,nsa,41.7
2011-04-02,sa,90.8
2011-04-03,nsa,14.7
2011-04-03,sa,92.2
2011-04-04,nsa,120.9
2011-04-04,sa,91.8
2011-04-05,nsa,137.1
2011-04-05,sa,90.2
2011-04-06,nsa,140.2
2011-04-06,sa,91.6
2011-04-07,nsa,137
2011-04-07,sa,93.4
2011-04-08,nsa,117.8
2011-04-08,sa,92.9
2011-04-09,nsa,43
2011-04-09,sa,91.6
2011-04-10,nsa,15.1
2011-04-10,sa,90.6
2011-04-11,nsa,122.9
2011-04-11,sa,93.4
2011-04-12,nsa,139.8
2011-04-12,sa,94.1
2011-04-13,nsa,141.8
2011-04-13,sa,92.1
2011-04-14,nsa,139.8
2011-04-14,sa,94.2
2011-04-15,nsa,120.5
2011-04-15,sa,95.3
2011-04-16,nsa,46.3
2011-04-16,sa,95.9
2011-04-17,nsa,16.4
2011-04-17,sa,95
2011-04-18,nsa,125.8
2011-04-18,sa,96.3
2011-04-19,nsa,143.8
2011-04-19,sa,98.4
2011-04-20,nsa,144
2011-04-20,sa,96.4
2011-04-21,nsa,121.4
2011-04-21,sa,96.2
2011-04-22,nsa,22
2011-04-22,sa,96.7
2011-04-23,nsa,26.4
2011-04-23,sa,92.8
2011-04-24,nsa,4.6
2011-04-24,sa,92.9
2011-04-25,nsa,12.2
2011-04-25,sa,97.8
2011-04-26,nsa,123.2
2011-04-26,sa,97
2011-04-27,nsa,141.7
2011-04-27,sa,93.3
2011-04-28,nsa,141.6
2011-04-28,sa,96.1
2011-04-29,nsa,123.2
2011-04-29,sa,97
2011-04-30,nsa,47.9
2011-04-30,sa,107.9
2011-05-01,nsa,15.1
2011-05-01,sa,102.3
2011-05-02,nsa,121
2011-05-02,sa,98.4
2011-05-03,nsa,136.4
2011-05-03,sa,92.5
2011-05-04,nsa,136.3
2011-05-04,sa,90.3
2011-05-05,nsa,137.1
2011-05-05,sa,92.8
2011-05-06,nsa,117.8
2011-05-06,sa,94.2
2011-05-07,nsa,42.6
2011-05-07,sa,93.7
2011-05-08,nsa,14.4
2011-05-08,sa,90.2
2011-05-09,nsa,121.5
2011-05-09,sa,93.1
2011-05-10,nsa,137.9
2011-05-10,sa,92.3
2011-05-11,nsa,139.8
2011-05-11,sa,92.2
2011-05-12,nsa,137.2
2011-05-12,sa,93
2011-05-13,nsa,116.2
2011-05-13,sa,91.2
2011-05-14,nsa,41.9
2011-05-14,sa,92.4
2011-05-15,nsa,14.6
2011-05-15,sa,90.6
2011-05-16,nsa,121.3
2011-05-16,sa,90.8
2011-05-17,nsa,138.9
2011-05-17,sa,92.4
2011-05-18,nsa,139.6
2011-05-18,sa,91.9
2011-05-19,nsa,136
2011-05-19,sa,91.2
2011-05-20,nsa,115.8
2011-05-20,sa,90.6
2011-05-21,nsa,41.1
2011-05-21,sa,89.2
2011-05-22,nsa,14.4
2011-05-22,sa,91.4
2011-05-23,nsa,121.1
2011-05-23,sa,91
2011-05-24,nsa,137.9
2011-05-24,sa,90.4
2011-05-25,nsa,139.3
2011-05-25,sa,91.5
2011-05-26,nsa,136.3
2011-05-26,sa,91
2011-05-27,nsa,116.6
2011-05-27,sa,90.6
2011-05-28,nsa,42.1
2011-05-28,sa,91.1
2011-05-29,nsa,14.8
2011-05-29,sa,91.3
2011-05-30,nsa,123.7
2011-05-30,sa,93.1
2011-05-31,nsa,141.1
2011-05-31,sa,94.2
2011-06-01,nsa,126.8
2011-06-01,sa,90.9
2011-06-02,nsa,28.6
2011-06-02,sa,91.5
2011-06-03,nsa,97
2011-06-03,sa,90.1
2011-06-04,nsa,39.8
2011-06-04,sa,91.2
2011-06-05,nsa,14.2
2011-06-05,sa,92.6
2011-06-06,nsa,121.7
2011-06-06,sa,93.2
2011-06-07,nsa,139.5
2011-06-07,sa,94.1
2011-06-08,nsa,140.3
2011-06-08,sa,94
2011-06-09,nsa,137.8
2011-06-09,sa,94.1
2011-06-10,nsa,116.8
2011-06-10,sa,93.6
2011-06-11,nsa,43.1
2011-06-11,sa,93.1
2011-06-12,nsa,7
2011-06-12,sa,94.3
2011-06-13,nsa,13.6
2011-06-13,sa,96.8
2011-06-14,nsa,131.2
2011-06-14,sa,99.6
2011-06-15,nsa,145.2
2011-06-15,sa,98.7
2011-06-16,nsa,141.1
2011-06-16,sa,97.6
2011-06-17,nsa,121.2
2011-06-17,sa,98.2
2011-06-18,nsa,45.6
2011-06-18,sa,97.2
2011-06-19,nsa,15.2
2011-06-19,sa,94.7
2011-06-20,nsa,122.7
2011-06-20,sa,95.1
2011-06-21,nsa,141.1
2011-06-21,sa,96.5
2011-06-22,nsa,133.7
2011-06-22,sa,96.4
2011-06-23,nsa,63.7
2011-06-23,sa,95.6
2011-06-24,nsa,108.6
2011-06-24,sa,94.2
2011-06-25,nsa,41
2011-06-25,sa,94.1
2011-06-26,nsa,14.2
2011-06-26,sa,94
2011-06-27,nsa,120.4
2011-06-27,sa,93.3
2011-06-28,nsa,137.6
2011-06-28,sa,94.3
2011-06-29,nsa,138.1
2011-06-29,sa,94.8
2011-06-30,nsa,135.2
2011-06-30,sa,95.1
2011-07-01,nsa,114.5
2011-07-01,sa,94.1
2011-07-02,nsa,35
2011-07-02,sa,90.2
2011-07-03,nsa,14.4
2011-07-03,sa,94.5
2011-07-04,nsa,121
2011-07-04,sa,95.2
2011-07-05,nsa,136.4
2011-07-05,sa,94.9
2011-07-06,nsa,135.6
2011-07-06,sa,94.6
2011-07-07,nsa,132
2011-07-07,sa,94.3
2011-07-08,nsa,113.2
2011-07-08,sa,94
2011-07-09,nsa,33.5
2011-07-09,sa,91.3
2011-07-10,nsa,14.1
2011-07-10,sa,94
2011-07-11,nsa,119.7
2011-07-11,sa,94.6
2011-07-12,nsa,134.8
2011-07-12,sa,94.6
2011-07-13,nsa,134.9
2011-07-13,sa,94.8
2011-07-14,nsa,133.9
2011-07-14,sa,96.3
2011-07-15,nsa,110.7
2011-07-15,sa,94.4
2011-07-16,nsa,32.7
2011-07-16,sa,92.6
2011-07-17,nsa,13.8
2011-07-17,sa,93.4
2011-07-18,nsa,117.1
2011-07-18,sa,93.7
2011-07-19,nsa,132
2011-07-19,sa,93.8
2011-07-20,nsa,131.7
2011-07-20,sa,93.6
2011-07-21,nsa,129.4
2011-07-21,sa,96
2011-07-22,nsa,107.4
2011-07-22,sa,93.4
2011-07-23,nsa,31.8
2011-07-23,sa,93.2
2011-07-24,nsa,13.5
2011-07-24,sa,94.1
2011-07-25,nsa,114.6
2011-07-25,sa,93.8
2011-07-26,nsa,128.9
2011-07-26,sa,93.1
2011-07-27,nsa,129
2011-07-27,sa,93.2
2011-07-28,nsa,124.3
2011-07-28,sa,93.6
2011-07-29,nsa,104.6
2011-07-29,sa,93.3
2011-07-30,nsa,30.5
2011-07-30,sa,93.7
2011-07-31,nsa,12.9
2011-07-31,sa,94.8
2011-08-01,nsa,110.7
2011-08-01,sa,93.1
2011-08-02,nsa,124.5
2011-08-02,sa,92.5
2011-08-03,nsa,124.5
2011-08-03,sa,91.8
2011-08-04,nsa,121.5
2011-08-04,sa,93.2
2011-08-05,nsa,102.7
2011-08-05,sa,94
2011-08-06,nsa,29.6
2011-08-06,sa,94.7
2011-08-07,nsa,12.7
2011-08-07,sa,95.3
2011-08-08,nsa,109.4
2011-08-08,sa,93.4
2011-08-09,nsa,124.1
2011-08-09,sa,93.2
2011-08-10,nsa,125.1
2011-08-10,sa,93.3
2011-08-11,nsa,121.3
2011-08-11,sa,93.5
2011-08-12,nsa,101.2
2011-08-12,sa,93.1
2011-08-13,nsa,29.1
2011-08-13,sa,94.3
2011-08-14,nsa,11.2
2011-08-14,sa,96.5
2011-08-15,nsa,93.7
2011-08-15,sa,91
2011-08-16,nsa,116.1
2011-08-16,sa,90.4
2011-08-17,nsa,124.4
2011-08-17,sa,92.9
2011-08-18,nsa,124
2011-08-18,sa,95.2
2011-08-19,nsa,105.5
2011-08-19,sa,95.6
2011-08-20,nsa,31.3
2011-08-20,sa,94.2
2011-08-21,nsa,13.2
2011-08-21,sa,95.7
2011-08-22,nsa,112.6
2011-08-22,sa,94.1
2011-08-23,nsa,127.7
2011-08-23,sa,94.2
2011-08-24,nsa,128.8
2011-08-24,sa,93
2011-08-25,nsa,126.5
2011-08-25,sa,93.3
2011-08-26,nsa,107.5
2011-08-26,sa,93.4
2011-08-27,nsa,32.1
2011-08-27,sa,91.1
2011-08-28,nsa,13.7
2011-08-28,sa,94.2
2011-08-29,nsa,116.2
2011-08-29,sa,94.7
2011-08-30,nsa,130.7
2011-08-30,sa,93.9
2011-08-31,nsa,131.9
2011-08-31,sa,93.2
2011-09-01,nsa,130.4
2011-09-01,sa,93.6
2011-09-02,nsa,110.6
2011-09-02,sa,93.1
2011-09-03,nsa,38.6
2011-09-03,sa,93.4
2011-09-04,nsa,13.7
2011-09-04,sa,92.4
2011-09-05,nsa,116.9
2011-09-05,sa,92.6
2011-09-06,nsa,133.3
2011-09-06,sa,93.1
2011-09-07,nsa,135
2011-09-07,sa,93.2
2011-09-08,nsa,131.6
2011-09-08,sa,92.8
2011-09-09,nsa,112.1
2011-09-09,sa,93
2011-09-10,nsa,39.5
2011-09-10,sa,93
2011-09-11,nsa,13.7
2011-09-11,sa,93.1
2011-09-12,nsa,118.1
2011-09-12,sa,93.1
2011-09-13,nsa,135
2011-09-13,sa,93.1
2011-09-14,nsa,137.2
2011-09-14,sa,93.7
2011-09-15,nsa,133.7
2011-09-15,sa,93.2
2011-09-16,nsa,114.3
2011-09-16,sa,94.3
2011-09-17,nsa,40.8
2011-09-17,sa,93.5
2011-09-18,nsa,13.9
2011-09-18,sa,93.2
2011-09-19,nsa,119.9
2011-09-19,sa,93.5
2011-09-20,nsa,136.9
2011-09-20,sa,93.7
2011-09-21,nsa,138.1
2011-09-21,sa,93.6
2011-09-22,nsa,135.2
2011-09-22,sa,94.1
2011-09-23,nsa,114.6
2011-09-23,sa,93.4
2011-09-24,nsa,41.3
2011-09-24,sa,93.6
2011-09-25,nsa,14.1
2011-09-25,sa,93.2
2011-09-26,nsa,120.8
2011-09-26,sa,93.9
2011-09-27,nsa,138.6
2011-09-27,sa,94.1
2011-09-28,nsa,139.8
2011-09-28,sa,93.9
2011-09-29,nsa,136.3
2011-09-29,sa,93.9
2011-09-30,nsa,116.8
2011-09-30,sa,93.8
2011-10-01,nsa,45.5
2011-10-01,sa,94.5
2011-10-02,nsa,7.9
2011-10-02,sa,92.8
2011-10-03,nsa,15
2011-10-03,sa,90.2
2011-10-04,nsa,139.9
2011-10-04,sa,94.4
2011-10-05,nsa,147.1
2011-10-05,sa,96.8
2011-10-06,nsa,141.4
2011-10-06,sa,96
2011-10-07,nsa,121.5
2011-10-07,sa,97.1
2011-10-08,nsa,46.1
2011-10-08,sa,96.3
2011-10-09,nsa,14.4
2011-10-09,sa,93.9
2011-10-10,nsa,120.6
2011-10-10,sa,93.4
2011-10-11,nsa,139.3
2011-10-11,sa,94.2
2011-10-12,nsa,140.6
2011-10-12,sa,94.4
2011-10-13,nsa,137.7
2011-10-13,sa,94.6
2011-10-14,nsa,117.6
2011-10-14,sa,95.1
2011-10-15,nsa,42.7
2011-10-15,sa,94.6
2011-10-16,nsa,14.3
2011-10-16,sa,94.5
2011-10-17,nsa,121.4
2011-10-17,sa,94.4
2011-10-18,nsa,138.8
2011-10-18,sa,94
2011-10-19,nsa,140.2
2011-10-19,sa,94.4
2011-10-20,nsa,137
2011-10-20,sa,94.4
2011-10-21,nsa,116.9
2011-10-21,sa,94.1
2011-10-22,nsa,42.5
2011-10-22,sa,93.8
2011-10-23,nsa,14.2
2011-10-23,sa,94.4
2011-10-24,nsa,121.5
2011-10-24,sa,94.7
2011-10-25,nsa,139.1
2011-10-25,sa,94.3
2011-10-26,nsa,138.7
2011-10-26,sa,94.1
2011-10-27,nsa,136.6
2011-10-27,sa,94.1
2011-10-28,nsa,117
2011-10-28,sa,93.6
2011-10-29,nsa,43.6
2011-10-29,sa,94.4
2011-10-30,nsa,13.5
2011-10-30,sa,95.2
2011-10-31,nsa,84.9
2011-10-31,sa,95.3
2011-11-01,nsa,65.6
2011-11-01,sa,92.9
2011-11-02,nsa,133.5
2011-11-02,sa,90.6
2011-11-03,nsa,140.6
2011-11-03,sa,96.1
2011-11-04,nsa,122.3
2011-11-04,sa,97.1
2011-11-05,nsa,45.9
2011-11-05,sa,95
2011-11-06,nsa,14.7
2011-11-06,sa,93.5
2011-11-07,nsa,122.8
2011-11-07,sa,94.5
2011-11-08,nsa,140.8
2011-11-08,sa,94.5
2011-11-09,nsa,141.3
2011-11-09,sa,94.5
2011-11-10,nsa,136.2
2011-11-10,sa,94
2011-11-11,nsa,117.6
2011-11-11,sa,94.6
2011-11-12,nsa,38.6
2011-11-12,sa,95.2
2011-11-13,nsa,13.9
2011-11-13,sa,94.5
2011-11-14,nsa,120.6
2011-11-14,sa,92.7
2011-11-15,nsa,138.7
2011-11-15,sa,93.4
2011-11-16,nsa,138.3
2011-11-16,sa,91.9
2011-11-17,nsa,136.6
2011-11-17,sa,93.6
2011-11-18,nsa,116.5
2011-11-18,sa,94.4
2011-11-19,nsa,41.3
2011-11-19,sa,93.9
2011-11-20,nsa,14.5
2011-11-20,sa,94.3
2011-11-21,nsa,122.7
2011-11-21,sa,94.7
2011-11-22,nsa,139.2
2011-11-22,sa,93.4
2011-11-23,nsa,141
2011-11-23,sa,94.2
2011-11-24,nsa,137.1
2011-11-24,sa,93.8
2011-11-25,nsa,116.7
2011-11-25,sa,93.6
2011-11-26,nsa,41.5
2011-11-26,sa,93.7
2011-11-27,nsa,14.4
2011-11-27,sa,93.7
2011-11-28,nsa,122.6
2011-11-28,sa,94.2
2011-11-29,nsa,139.9
2011-11-29,sa,95.1
2011-11-30,nsa,140.3
2011-11-30,sa,94.1
2011-12-01,nsa,137
2011-12-01,sa,94.2
2011-12-02,nsa,116.6
2011-12-02,sa,95.3
2011-12-03,nsa,41.8
2011-12-03,sa,93.6
2011-12-04,nsa,14.7
2011-12-04,sa,92.9
2011-12-05,nsa,122
2011-12-05,sa,93.6
2011-12-06,nsa,139
2011-12-06,sa,94
2011-12-07,nsa,139.1
2011-12-07,sa,92.9
2011-12-08,nsa,134.4
2011-12-08,sa,92.4
2011-12-09,nsa,114
2011-12-09,sa,93.4
2011-12-10,nsa,41.1
2011-12-10,sa,93.2
2011-12-11,nsa,14.8
2011-12-11,sa,92.9
2011-12-12,nsa,120.9
2011-12-12,sa,92.5
2011-12-13,nsa,137.3
2011-12-13,sa,91.6
2011-12-14,nsa,139.5
2011-12-14,sa,92.6
2011-12-15,nsa,136.3
2011-12-15,sa,92.8
2011-12-16,nsa,113.8
2011-12-16,sa,92
2011-12-17,nsa,43.9
2011-12-17,sa,95.5
2011-12-18,nsa,16.1
2011-12-18,sa,95.1
2011-12-19,nsa,118.7
2011-12-19,sa,94.2
2011-12-20,nsa,129.7
2011-12-20,sa,92.3
2011-12-21,nsa,125.8
2011-12-21,sa,114.9
2011-12-22,nsa,109.2
2011-12-22,sa,104.4
2011-12-23,nsa,73.3
2011-12-23,sa,98.9
2011-12-24,nsa,15
2011-12-24,sa,120.7
2011-12-25,nsa,2.8
2011-12-25,sa,105.8
2011-12-26,nsa,8
2011-12-26,sa,90.6
2011-12-27,nsa,63
2011-12-27,sa,99
2011-12-28,nsa,69.1
2011-12-28,sa,95.1
2011-12-29,nsa,63
2011-12-29,sa,92.9
2011-12-30,nsa,46.7
2011-12-30,sa,93.8
2011-12-31,nsa,12.4
2011-12-31,sa,116.5
2012-01-01,nsa,6.8
2012-01-01,sa,127.5
2012-01-02,nsa,72.8
2012-01-02,sa,116.1
2012-01-03,nsa,95.7
2012-01-03,sa,113.6
2012-01-04,nsa,102.5
2012-01-04,sa,109.6
2012-01-05,nsa,96.5
2012-01-05,sa,104.6
2012-01-06,nsa,69.9
2012-01-06,sa,88.1
2012-01-07,nsa,28
2012-01-07,sa,99.8
2012-01-08,nsa,12.8
2012-01-08,sa,98.1
2012-01-09,nsa,105.7
2012-01-09,sa,88
2012-01-10,nsa,123.9
2012-01-10,sa,88.4
2012-01-11,nsa,127
2012-01-11,sa,91
2012-01-12,nsa,123.5
2012-01-12,sa,92.4
2012-01-13,nsa,104.7
2012-01-13,sa,92.9
2012-01-14,nsa,37.2
2012-01-14,sa,92.9
2012-01-15,nsa,14
2012-01-15,sa,92.7
2012-01-16,nsa,113.8
2012-01-16,sa,91.7
2012-01-17,nsa,129.7
2012-01-17,sa,92.4
2012-01-18,nsa,130.9
2012-01-18,sa,92.3
2012-01-19,nsa,126.2
2012-01-19,sa,92.8
2012-01-20,nsa,106.1
2012-01-20,sa,92.4
2012-01-21,nsa,37.6
2012-01-21,sa,93.2
2012-01-22,nsa,14
2012-01-22,sa,92.3
2012-01-23,nsa,115.5
2012-01-23,sa,93.3
2012-01-24,nsa,130.4
2012-01-24,sa,93.3
2012-01-25,nsa,131.4
2012-01-25,sa,93.4
2012-01-26,nsa,126.7
2012-01-26,sa,93.3
2012-01-27,nsa,106.9
2012-01-27,sa,93.7
2012-01-28,nsa,37.1
2012-01-28,sa,92.4
2012-01-29,nsa,13.7
2012-01-29,sa,92.4
2012-01-30,nsa,114.5
2012-01-30,sa,92.5
2012-01-31,nsa,128.4
2012-01-31,sa,91.7
2012-02-01,nsa,129.9
2012-02-01,sa,92.7
2012-02-02,nsa,124.2
2012-02-02,sa,91.8
2012-02-03,nsa,104.4
2012-02-03,sa,91.4
2012-02-04,nsa,38
2012-02-04,sa,92.7
2012-02-05,nsa,13.6
2012-02-05,sa,92
2012-02-06,nsa,107
2012-02-06,sa,86
2012-02-07,nsa,123
2012-02-07,sa,87.5
2012-02-08,nsa,127.7
2012-02-08,sa,90.7
2012-02-09,nsa,122
2012-02-09,sa,89.4
2012-02-10,nsa,105.2
2012-02-10,sa,92.1
2012-02-11,nsa,37.7
2012-02-11,sa,92.4
2012-02-12,nsa,13.7
2012-02-12,sa,92.3
2012-02-13,nsa,109.9
2012-02-13,sa,88.4
2012-02-14,nsa,127.4
2012-02-14,sa,91.1
2012-02-15,nsa,127.7
2012-02-15,sa,91.1
2012-02-16,nsa,124.8
2012-02-16,sa,91.1
2012-02-17,nsa,105.4
2012-02-17,sa,91.6
2012-02-18,nsa,37.5
2012-02-18,sa,92.2
2012-02-19,nsa,13.4
2012-02-19,sa,92.2
2012-02-20,nsa,105.5
2012-02-20,sa,91.8
2012-02-21,nsa,124.7
2012-02-21,sa,91.6
2012-02-22,nsa,129.6
2012-02-22,sa,91.3
2012-02-23,nsa,126.6
2012-02-23,sa,92.1
2012-02-24,nsa,107.5
2012-02-24,sa,92.4
2012-02-25,nsa,38.1
2012-02-25,sa,92.8
2012-02-26,nsa,14.1
2012-02-26,sa,92.9
2012-02-27,nsa,116.5
2012-02-27,sa,92.6
2012-02-28,nsa,133
2012-02-28,sa,92.9
2012-02-29,nsa,133.9
2012-02-29,sa,93.4
2012-03-01,nsa,131.1
2012-03-01,sa,93.7
2012-03-02,nsa,110.8
2012-03-02,sa,93.2
2012-03-03,nsa,38.9
2012-03-03,sa,92.8
2012-03-04,nsa,14.2
2012-03-04,sa,93
2012-03-05,nsa,117.8
2012-03-05,sa,93
2012-03-06,nsa,134.7
2012-03-06,sa,93.3
2012-03-07,nsa,136
2012-03-07,sa,93.6
2012-03-08,nsa,131.8
2012-03-08,sa,93.1
2012-03-09,nsa,111.8
2012-03-09,sa,93.6
2012-03-10,nsa,39.2
2012-03-10,sa,93.7
2012-03-11,nsa,14.2
2012-03-11,sa,93.8
2012-03-12,nsa,119.6
2012-03-12,sa,95.2
2012-03-13,nsa,136
2012-03-13,sa,93.7
2012-03-14,nsa,137.1
2012-03-14,sa,93.5
2012-03-15,nsa,133.9
2012-03-15,sa,93.6
2012-03-16,nsa,113.5
2012-03-16,sa,93.6
2012-03-17,nsa,40
2012-03-17,sa,92.9
2012-03-18,nsa,14.1
2012-03-18,sa,93
2012-03-19,nsa,120.6
2012-03-19,sa,93.1
2012-03-20,nsa,137.1
2012-03-20,sa,93.3
2012-03-21,nsa,138.7
2012-03-21,sa,93.1
2012-03-22,nsa,135.5
2012-03-22,sa,93.4
2012-03-23,nsa,116
2012-03-23,sa,93.9
2012-03-24,nsa,41.3
2012-03-24,sa,93.4
2012-03-25,nsa,14.6
2012-03-25,sa,93.2
2012-03-26,nsa,122
2012-03-26,sa,93.7
2012-03-27,nsa,139.3
2012-03-27,sa,94.1
2012-03-28,nsa,141.1
2012-03-28,sa,94.4
2012-03-29,nsa,138.1
2012-03-29,sa,93.4
2012-03-30,nsa,118.1
2012-03-30,sa,94.2
2012-03-31,nsa,44.1
2012-03-31,sa,95.2
2012-04-01,nsa,15.8
2012-04-01,sa,93
2012-04-02,nsa,125.3
2012-04-02,sa,94.9
2012-04-03,nsa,143.3
2012-04-03,sa,97
2012-04-04,nsa,143.1
2012-04-04,sa,94.8
2012-04-05,nsa,120.9
2012-04-05,sa,94.3
2012-04-06,nsa,21.8
2012-04-06,sa,96.9
2012-04-07,nsa,27.1
2012-04-07,sa,94.9
2012-04-08,nsa,4.8
2012-04-08,sa,93.5
2012-04-09,nsa,11.8
2012-04-09,sa,97.8
2012-04-10,nsa,123.8
2012-04-10,sa,95
2012-04-11,nsa,142.2
2012-04-11,sa,93.5
2012-04-12,nsa,140.6
2012-04-12,sa,95.6
2012-04-13,nsa,121.2
2012-04-13,sa,95.3
2012-04-14,nsa,46.3
2012-04-14,sa,96
2012-04-15,nsa,15.1
2012-04-15,sa,93.1
2012-04-16,nsa,122.3
2012-04-16,sa,92.4
2012-04-17,nsa,139.2
2012-04-17,sa,92.9
2012-04-18,nsa,140.9
2012-04-18,sa,92.3
2012-04-19,nsa,137.5
2012-04-19,sa,92.4
2012-04-20,nsa,117
2012-04-20,sa,92.9
2012-04-21,nsa,41.4
2012-04-21,sa,91.9
2012-04-22,nsa,14.6
2012-04-22,sa,92.3
2012-04-23,nsa,123.2
2012-04-23,sa,93.3
2012-04-24,nsa,139.7
2012-04-24,sa,92.3
2012-04-25,nsa,143
2012-04-25,sa,93.6
2012-04-26,nsa,138
2012-04-26,sa,91.6
2012-04-27,nsa,117.4
2012-04-27,sa,92.6
2012-04-28,nsa,42.9
2012-04-28,sa,92
2012-04-29,nsa,14.2
2012-04-29,sa,91.5
2012-04-30,nsa,90.4
2012-04-30,sa,88.3
2012-05-01,nsa,26.1
2012-05-01,sa,94.8
2012-05-02,nsa,132.7
2012-05-02,sa,93.7
2012-05-03,nsa,139.1
2012-05-03,sa,95
2012-05-04,nsa,120.2
2012-05-04,sa,97.5
2012-05-05,nsa,44.6
2012-05-05,sa,94
2012-05-06,nsa,13
2012-05-06,sa,92.6
2012-05-07,nsa,120.2
2012-05-07,sa,90.4
2012-05-08,nsa,139.4
2012-05-08,sa,90.3
2012-05-09,nsa,136.6
2012-05-09,sa,93.5
2012-05-10,nsa,137
2012-05-10,sa,91.8
2012-05-11,nsa,118.1
2012-05-11,sa,93.5
2012-05-12,nsa,44.3
2012-05-12,sa,93.5
2012-05-13,nsa,15.2
2012-05-13,sa,93.6
2012-05-14,nsa,124.5
2012-05-14,sa,94.3
2012-05-15,nsa,143.4
2012-05-15,sa,94.1
2012-05-16,nsa,129
2012-05-16,sa,97.8
2012-05-17,nsa,29.4
2012-05-17,sa,92.2
2012-05-18,nsa,98.3
2012-05-18,sa,90.4
2012-05-19,nsa,41.1
2012-05-19,sa,90.1
2012-05-20,nsa,14.4
2012-05-20,sa,92.3
2012-05-21,nsa,123.8
2012-05-21,sa,91.3
2012-05-22,nsa,142
2012-05-22,sa,92.7
2012-05-23,nsa,142.2
2012-05-23,sa,97.4
2012-05-24,nsa,139
2012-05-24,sa,92.3
2012-05-25,nsa,116.6
2012-05-25,sa,92.8
2012-05-26,nsa,43.7
2012-05-26,sa,92.4
2012-05-27,nsa,7
2012-05-27,sa,92.4
2012-05-28,nsa,13.8
2012-05-28,sa,94.7
2012-05-29,nsa,131.2
2012-05-29,sa,96.6
2012-05-30,nsa,146.3
2012-05-30,sa,97.9
2012-05-31,nsa,141.7
2012-05-31,sa,96.3
2012-06-01,nsa,120.2
2012-06-01,sa,95.4
2012-06-02,nsa,44.6
2012-06-02,sa,93.7
2012-06-03,nsa,14.7
2012-06-03,sa,93.9
2012-06-04,nsa,123.1
2012-06-04,sa,95
2012-06-05,nsa,141.8
2012-06-05,sa,95.1
2012-06-06,nsa,133
2012-06-06,sa,94.1
2012-06-07,nsa,63.5
2012-06-07,sa,93.4
2012-06-08,nsa,108
2012-06-08,sa,92.5
2012-06-09,nsa,41.7
2012-06-09,sa,92.7
2012-06-10,nsa,14.2
2012-06-10,sa,92.4
2012-06-11,nsa,121.3
2012-06-11,sa,91.7
2012-06-12,nsa,138.5
2012-06-12,sa,92.3
2012-06-13,nsa,138.6
2012-06-13,sa,91.6
2012-06-14,nsa,135.6
2012-06-14,sa,91.7
2012-06-15,nsa,114.7
2012-06-15,sa,92.2
2012-06-16,nsa,40.9
2012-06-16,sa,92.1
2012-06-17,nsa,14.1
2012-06-17,sa,91.4
2012-06-18,nsa,120.3
2012-06-18,sa,92.3
2012-06-19,nsa,136.6
2012-06-19,sa,92.3
2012-06-20,nsa,137.6
2012-06-20,sa,92.1
2012-06-21,nsa,134.3
2012-06-21,sa,92.3
2012-06-22,nsa,113.2
2012-06-22,sa,92.5
2012-06-23,nsa,39.9
2012-06-23,sa,92.4
2012-06-24,nsa,14
2012-06-24,sa,92.5
2012-06-25,nsa,118.7
2012-06-25,sa,92.2
2012-06-26,nsa,135.7
2012-06-26,sa,92.6
2012-06-27,nsa,137.8
2012-06-27,sa,93.4
2012-06-28,nsa,133
2012-06-28,sa,92.7
2012-06-29,nsa,111.9
2012-06-29,sa,92.6
2012-06-30,nsa,39.8
2012-06-30,sa,93
2012-07-01,nsa,14
2012-07-01,sa,92.6
2012-07-02,nsa,118.4
2012-07-02,sa,93.6
2012-07-03,nsa,135.6
2012-07-03,sa,93.9
2012-07-04,nsa,136.1
2012-07-04,sa,93.5
2012-07-05,nsa,131.8
2012-07-05,sa,93.5
2012-07-06,nsa,110.6
2012-07-06,sa,94
2012-07-07,nsa,33.2
2012-07-07,sa,89.1
2012-07-08,nsa,13.8
2012-07-08,sa,92.5
2012-07-09,nsa,117.2
2012-07-09,sa,93.1
2012-07-10,nsa,133.5
2012-07-10,sa,93.1
