time,sa,value
2008-04-07,sa,97
2008-04-08,nsa,143.4
2008-04-08,sa,97
2008-04-09,nsa,144.9
2008-04-09,sa,95.5
2008-04-10,nsa,142.9
2008-04-10,sa,94.4
2008-04-11,nsa,122
2008-04-11,sa,96.5
2008-04-12,nsa,44.6
2008-04-12,sa,97.2
2008-04-13,nsa,16.3
2008-04-13,sa,94.8
2008-04-14,nsa,127.9
2008-04-14,sa,96.2
2008-04-15,nsa,143.8
2008-04-15,sa,97.2
2008-04-16,nsa,145.6
2008-04-16,sa,97.1
2008-04-17,nsa,142.8
2008-04-17,sa,97.5
2008-04-18,nsa,123.2
2008-04-18,sa,97.2
2008-04-19,nsa,44.7
2008-04-19,sa,97.4
2008-04-20,nsa,16.4
2008-04-20,sa,98.3
2008-04-21,nsa,129.2
2008-04-21,sa,98.5
2008-04-22,nsa,145.2
2008-04-22,sa,97.9
2008-04-23,nsa,147
2008-04-23,sa,98.9
2008-04-24,nsa,143.6
2008-04-24,sa,97.5
2008-04-25,nsa,125.2
2008-04-25,sa,97.2
2008-04-26,nsa,46.1
2008-04-26,sa,97.7
2008-04-27,nsa,17
2008-04-27,sa,98.5
2008-04-28,nsa,130.8
2008-04-28,sa,98.7
2008-04-29,nsa,146
2008-04-29,sa,98.1
2008-04-30,nsa,128.8
2008-04-30,sa,103.7
2008-05-01,nsa,26.4
2008-05-01,sa,95.1
2008-05-02,nsa,91.5
2008-05-02,sa,90.3
2008-05-03,nsa,37
2008-05-03,sa,91.4
2008-05-04,nsa,15.1
2008-05-04,sa,99.5
2008-05-05,nsa,126.9
2008-05-05,sa,96.4
2008-05-06,nsa,144.4
2008-05-06,sa,98.6
2008-05-07,nsa,145.5
2008-05-07,sa,98.8
2008-05-08,nsa,146.4
2008-05-08,sa,97.2
2008-05-09,nsa,123.9
2008-05-09,sa,98.7
2008-05-10,nsa,46
2008-05-10,sa,98.4
2008-05-11,nsa,7.2
2008-05-11,sa,99.3
2008-05-12,nsa,14.9
2008-05-12,sa,96.6
2008-05-13,nsa,136
2008-05-13,sa,103.1
2008-05-14,nsa,152.4
2008-05-14,sa,104.7
2008-05-15,nsa,150.4
2008-05-15,sa,100.9
2008-05-16,nsa,130.8
2008-05-16,sa,103.4
2008-05-17,nsa,51.2
2008-05-17,sa,102.3
2008-05-18,nsa,17.6
2008-05-18,sa,100.3
2008-05-19,nsa,132.2
2008-05-19,sa,100.7
2008-05-20,nsa,149.9
2008-05-20,sa,102.4
2008-05-21,nsa,144
2008-05-21,sa,101.2
2008-05-22,nsa,66.9
2008-05-22,sa,93.7
2008-05-23,nsa,116
2008-05-23,sa,96.4
2008-05-24,nsa,44.8
2008-05-24,sa,95.4
2008-05-25,nsa,16.2
2008-05-25,sa,97.7
2008-05-26,nsa,130.1
2008-05-26,sa,98.3
2008-05-27,nsa,145.3
2008-05-27,sa,97.3
2008-05-28,nsa,146.1
2008-05-28,sa,97.2
2008-05-29,nsa,144.1
2008-05-29,sa,97.3
2008-05-30,nsa,123.9
2008-05-30,sa,96.6
2008-05-31,nsa,46
2008-05-31,sa,96.9
2008-06-01,nsa,16.2
2008-06-01,sa,95
2008-06-02,nsa,127.9
2008-06-02,sa,95.6
2008-06-03,nsa,142.5
2008-06-03,sa,96.7
2008-06-04,nsa,144.1
2008-06-04,sa,97.4
2008-06-05,nsa,141.7
2008-06-05,sa,97
2008-06-06,nsa,122.8
2008-06-06,sa,97.6
2008-06-07,nsa,44.7
2008-06-07,sa,97.4
2008-06-08,nsa,15.4
2008-06-08,sa,96.9
2008-06-09,nsa,126.5
2008-06-09,sa,96.5
2008-06-10,nsa,142
2008-06-10,sa,96.5
2008-06-11,nsa,143.2
2008-06-11,sa,95.4
2008-06-12,nsa,138.8
2008-06-12,sa,95.5
2008-06-13,nsa,120.5
2008-06-13,sa,95.9
2008-06-14,nsa,43.6
2008-06-14,sa,95.7
2008-06-15,nsa,15.7
2008-06-15,sa,96.1
2008-06-16,nsa,126.9
2008-06-16,sa,97.3
2008-06-17,nsa,141.9
2008-06-17,sa,96.1
2008-06-18,nsa,142.8
2008-06-18,sa,96.6
2008-06-19,nsa,138.8
2008-06-19,sa,96.8
2008-06-20,nsa,119
2008-06-20,sa,96.1
2008-06-21,nsa,42.4
2008-06-21,sa,96.2
2008-06-22,nsa,15.3
2008-06-22,sa,96.4
2008-06-23,nsa,124
2008-06-23,sa,95.9
2008-06-24,nsa,140.7
2008-06-24,sa,96.6
2008-06-25,nsa,141.3
2008-06-25,sa,96.4
2008-06-26,nsa,138.3
2008-06-26,sa,97.2
2008-06-27,nsa,118.3
2008-06-27,sa,96.4
2008-06-28,nsa,43.4
2008-06-28,sa,98.7
2008-06-29,nsa,14.9
2008-06-29,sa,96.4
2008-06-30,nsa,123.4
2008-06-30,sa,95.6
2008-07-01,nsa,139.7
2008-07-01,sa,96.5
2008-07-02,nsa,140.7
2008-07-02,sa,97.2
2008-07-03,nsa,137
2008-07-03,sa,96.9
2008-07-04,nsa,118.7
2008-07-04,sa,98.2
2008-07-05,nsa,35.4
2008-07-05,sa,94.5
2008-07-06,nsa,15.1
2008-07-06,sa,97.6
2008-07-07,nsa,123.9
2008-07-07,sa,97.8
2008-07-08,nsa,138.3
2008-07-08,sa,96.6
2008-07-09,nsa,139.5
2008-07-09,sa,97.2
2008-07-10,nsa,135.8
2008-07-10,sa,96.9
2008-07-11,nsa,115.5
2008-07-11,sa,96.3
2008-07-12,nsa,33.4
2008-07-12,sa,94.7
2008-07-13,nsa,14.6
2008-07-13,sa,96.2
