time,geo,value
2020-04-11,lu,1888
2020-04-11,ne,543
2020-04-11,nw,38
2020-04-11,ow,67
2020-04-11,sg,2550
2020-04-11,sh,387
2020-04-11,so,920
2020-04-11,sz,369
2020-04-11,tg,998
2020-04-11,ti,75
2020-04-11,tot,30577
2020-04-11,ur,78
2020-04-11,vd,1108
2020-04-11,vs,597
2020-04-11,zg,976
2020-04-11,zh,5763
2020-04-12,ag,2142
2020-04-12,ai,70
2020-04-12,ar,160
2020-04-12,be,3507
2020-04-12,bl,295
2020-04-12,bs,1032
2020-04-12,fr,470
2020-04-12,ge,797
2020-04-12,gl,127
2020-04-12,gr,897
2020-04-12,ju,123
2020-04-12,lu,1722
2020-04-12,ne,473
2020-04-12,nw,35
2020-04-12,ow,55
2020-04-12,sg,2433
2020-04-12,sh,362
2020-04-12,so,868
2020-04-12,sz,356
2020-04-12,tg,926
2020-04-12,ti,65
2020-04-12,tot,28563
2020-04-12,ur,61
2020-04-12,vd,1076
2020-04-12,vs,557
2020-04-12,zg,934
2020-04-12,zh,5478
2020-04-13,ag,2048
2020-04-13,ai,62
2020-04-13,ar,154
2020-04-13,be,3309
2020-04-13,bl,282
2020-04-13,bs,987
2020-04-13,fr,403
2020-04-13,ge,683
2020-04-13,gl,119
2020-04-13,gr,812
2020-04-13,ju,104
2020-04-13,lu,1630
2020-04-13,ne,440
2020-04-13,nw,34
2020-04-13,ow,50
2020-04-13,sg,2307
2020-04-13,sh,320
2020-04-13,so,824
2020-04-13,sz,339
2020-04-13,tg,880
2020-04-13,ti,63
2020-04-13,tot,26735
2020-04-13,ur,57
2020-04-13,vd,938
2020-04-13,vs,476
2020-04-13,zg,891
2020-04-13,zh,5188
2020-04-14,ag,2160
2020-04-14,ai,57
2020-04-14,ar,151
2020-04-14,be,3286
2020-04-14,bl,296
2020-04-14,bs,973
2020-04-14,fr,406
2020-04-14,ge,678
2020-04-14,gl,116
2020-04-14,gr,811
2020-04-14,ju,105
2020-04-14,lu,1634
2020-04-14,ne,447
2020-04-14,nw,33
2020-04-14,ow,47
2020-04-14,sg,2301
2020-04-14,sh,303
2020-04-14,so,801
2020-04-14,sz,348
2020-04-14,tg,885
2020-04-14,ti,64
2020-04-14,tot,26668
2020-04-14,ur,55
2020-04-14,vd,918
2020-04-14,vs,504
2020-04-14,zg,868
2020-04-14,zh,5142
2020-04-15,ag,2222
2020-04-15,ai,63
2020-04-15,ar,156
2020-04-15,be,3434
2020-04-15,bl,304
2020-04-15,bs,990
2020-04-15,fr,425
2020-04-15,ge,712
2020-04-15,gl,118
2020-04-15,gr,856
2020-04-15,ju,113
2020-04-15,lu,1678
2020-04-15,ne,454
2020-04-15,nw,39
2020-04-15,ow,58
2020-04-15,sg,2371
2020-04-15,sh,326
2020-04-15,so,827
2020-04-15,sz,358
2020-04-15,tg,937
2020-04-15,ti,66
2020-04-15,tot,27650
2020-04-15,ur,62
2020-04-15,vd,958
2020-04-15,vs,550
2020-04-15,zg,953
2020-04-15,zh,5353
2020-04-16,ag,2283
2020-04-16,ai,66
