time,direction,rnwy,time_frame,value
2020-02-12,arrival,34,0622,13
2020-02-12,arrival,34,2200,0
2020-02-12,arrival,all,total,320
2020-02-13,arrival,14,0006,0
2020-02-13,arrival,14,0622,135
2020-02-13,arrival,14,2200,0
2020-02-13,arrival,16,0006,0
2020-02-13,arrival,16,0622,0
2020-02-13,arrival,16,2200,0
2020-02-13,arrival,28,0006,0
2020-02-13,arrival,28,0622,151
2020-02-13,arrival,28,2200,18
2020-02-13,arrival,34,0006,0
2020-02-13,arrival,34,0622,14
2020-02-13,arrival,34,2200,0
2020-02-13,arrival,all,total,318
2020-02-14,arrival,14,0006,0
2020-02-14,arrival,14,0622,268
2020-02-14,arrival,14,2200,0
2020-02-14,arrival,16,0006,0
2020-02-14,arrival,16,0622,0
2020-02-14,arrival,16,2200,0
2020-02-14,arrival,28,0006,0
2020-02-14,arrival,28,0622,47
2020-02-14,arrival,28,2200,19
2020-02-14,arrival,34,0006,0
2020-02-14,arrival,34,0622,13
2020-02-14,arrival,34,2200,0
2020-02-14,arrival,all,total,347
2020-02-15,arrival,14,0006,0
2020-02-15,arrival,14,0622,227
2020-02-15,arrival,14,2200,0
2020-02-15,arrival,16,0006,0
2020-02-15,arrival,16,0622,0
2020-02-15,arrival,16,2200,0
2020-02-15,arrival,28,0006,0
2020-02-15,arrival,28,0622,21
2020-02-15,arrival,28,2200,11
2020-02-15,arrival,34,0006,0
2020-02-15,arrival,34,0622,31
2020-02-15,arrival,34,2200,0
2020-02-15,arrival,all,total,290
2020-02-16,arrival,14,0006,0
2020-02-16,arrival,14,0622,225
2020-02-16,arrival,14,2200,0
2020-02-16,arrival,16,0006,0
2020-02-16,arrival,16,0622,0
2020-02-16,arrival,16,2200,0
2020-02-16,arrival,28,0006,0
2020-02-16,arrival,28,0622,37
2020-02-16,arrival,28,2200,24
2020-02-16,arrival,34,0006,0
2020-02-16,arrival,34,0622,34
2020-02-16,arrival,34,2200,0
2020-02-16,arrival,all,total,320
2020-02-17,arrival,14,0006,0
2020-02-17,arrival,14,0622,192
2020-02-17,arrival,14,2200,0
2020-02-17,arrival,16,0006,0
2020-02-17,arrival,16,0622,0
2020-02-17,arrival,16,2200,0
2020-02-17,arrival,28,0006,0
2020-02-17,arrival,28,0622,96
2020-02-17,arrival,28,2200,11
2020-02-17,arrival,34,0006,0
2020-02-17,arrival,34,0622,13
2020-02-17,arrival,34,2200,0
2020-02-17,arrival,all,total,312
2020-02-18,arrival,14,0006,0
2020-02-18,arrival,14,0622,173
2020-02-18,arrival,14,2200,0
2020-02-18,arrival,16,0006,0
2020-02-18,arrival,16,0622,0
2020-02-18,arrival,16,2200,0
2020-02-18,arrival,28,0006,0
2020-02-18,arrival,28,0622,110
2020-02-18,arrival,28,2200,8
2020-02-18,arrival,34,0006,0
2020-02-18,arrival,34,0622,16
2020-02-18,arrival,34,2200,0
2020-02-18,arrival,all,total,307
2020-02-19,arrival,14,0006,0
2020-02-19,arrival,14,0622,44
2020-02-19,arrival,14,2200,0
2020-02-19,arrival,16,0006,0
2020-02-19,arrival,16,0622,0
2020-02-19,arrival,16,2200,0
2020-02-19,arrival,28,0006,0
2020-02-19,arrival,28,0622,269
2020-02-19,arrival,28,2200,14
2020-02-19,arrival,34,0006,0
2020-02-19,arrival,34,0622,0
2020-02-19,arrival,34,2200,0
2020-02-19,arrival,all,total,327
2020-02-20,arrival,14,0006,0
2020-02-20,arrival,14,0622,285
2020-02-20,arrival,14,2200,0
2020-02-20,arrival,16,0006,0
2020-02-20,arrival,16,0622,0
2020-02-20,arrival,16,2200,0
2020-02-20,arrival,28,0006,0
2020-02-20,arrival,28,0622,21
2020-02-20,arrival,28,2200,13
2020-02-20,arrival,34,0006,0
2020-02-20,arrival,34,0622,16
2020-02-20,arrival,34,2200,0
2020-02-20,arrival,all,total,335
2020-02-21,arrival,14,0006,0
2020-02-21,arrival,14,0622,293
2020-02-21,arrival,14,2200,0
2020-02-21,arrival,16,0006,0
2020-02-21,arrival,16,0622,0
2020-02-21,arrival,16,2200,0
2020-02-21,arrival,28,0006,0
2020-02-21,arrival,28,0622,28
2020-02-21,arrival,28,2200,14
2020-02-21,arrival,34,0006,0
2020-02-21,arrival,34,0622,14
2020-02-21,arrival,34,2200,0
2020-02-21,arrival,all,total,349
2020-02-22,arrival,14,0006,0
2020-02-22,arrival,14,0622,210
2020-02-22,arrival,14,2200,0
2020-02-22,arrival,16,0006,0
2020-02-22,arrival,16,0622,0
2020-02-22,arrival,16,2200,0
2020-02-22,arrival,28,0006,0
2020-02-22,arrival,28,0622,30
2020-02-22,arrival,28,2200,9
2020-02-22,arrival,34,0006,0
2020-02-22,arrival,34,0622,45
2020-02-22,arrival,34,2200,0
2020-02-22,arrival,all,total,294
2020-02-23,arrival,14,0006,0
2020-02-23,arrival,14,0622,60
2020-02-23,arrival,14,2200,0
2020-02-23,arrival,16,0006,0
2020-02-23,arrival,16,0622,0
2020-02-23,arrival,16,2200,0
2020-02-23,arrival,28,0006,0
2020-02-23,arrival,28,0622,215
2020-02-23,arrival,28,2200,23
2020-02-23,arrival,34,0006,0
2020-02-23,arrival,34,0622,36
2020-02-23,arrival,34,2200,0
2020-02-23,arrival,all,total,334
2020-02-24,arrival,14,0006,0
2020-02-24,arrival,14,0622,187
2020-02-24,arrival,14,2200,0
2020-02-24,arrival,16,0006,0
2020-02-24,arrival,16,0622,0
2020-02-24,arrival,16,2200,0
2020-02-24,arrival,28,0006,0
2020-02-24,arrival,28,0622,115
2020-02-24,arrival,28,2200,8
2020-02-24,arrival,34,0006,0
2020-02-24,arrival,34,0622,15
2020-02-24,arrival,34,2200,0
2020-02-24,arrival,all,total,325
2020-02-25,arrival,14,0006,0
2020-02-25,arrival,14,0622,75
2020-02-25,arrival,14,2200,0
2020-02-25,arrival,16,0006,0
2020-02-25,arrival,16,0622,0
2020-02-25,arrival,16,2200,0
2020-02-25,arrival,28,0006,0
2020-02-25,arrival,28,0622,221
2020-02-25,arrival,28,2200,9
2020-02-25,arrival,34,0006,0
2020-02-25,arrival,34,0622,15
2020-02-25,arrival,34,2200,0
2020-02-25,arrival,all,total,320
2020-02-26,arrival,14,0006,0
2020-02-26,arrival,14,0622,35
2020-02-26,arrival,14,2200,0
2020-02-26,arrival,16,0006,0
2020-02-26,arrival,16,0622,0
2020-02-26,arrival,16,2200,0
2020-02-26,arrival,28,0006,0
2020-02-26,arrival,28,0622,211
2020-02-26,arrival,28,2200,17
2020-02-26,arrival,34,0006,0
2020-02-26,arrival,34,0622,54
2020-02-26,arrival,34,2200,0
2020-02-26,arrival,all,total,317
2020-02-27,arrival,14,0006,0
2020-02-27,arrival,14,0622,181
2020-02-27,arrival,14,2200,0
2020-02-27,arrival,16,0006,0
2020-02-27,arrival,16,0622,13
2020-02-27,arrival,16,2200,0
2020-02-27,arrival,28,0006,0
2020-02-27,arrival,28,0622,109
2020-02-27,arrival,28,2200,26
2020-02-27,arrival,34,0006,0
2020-02-27,arrival,34,0622,13
2020-02-27,arrival,34,2200,0
2020-02-27,arrival,all,total,342
2020-02-28,arrival,14,0006,0
2020-02-28,arrival,14,0622,300
2020-02-28,arrival,14,2200,0
2020-02-28,arrival,16,0006,0
2020-02-28,arrival,16,0622,0
2020-02-28,arrival,16,2200,0
2020-02-28,arrival,28,0006,0
2020-02-28,arrival,28,0622,25
2020-02-28,arrival,28,2200,19
2020-02-28,arrival,34,0006,0
2020-02-28,arrival,34,0622,14
2020-02-28,arrival,34,2200,0
2020-02-28,arrival,all,total,358
2020-02-29,arrival,14,0006,0
2020-02-29,arrival,14,0622,181
2020-02-29,arrival,14,2200,0
2020-02-29,arrival,16,0006,0
2020-02-29,arrival,16,0622,0
2020-02-29,arrival,16,2200,0
2020-02-29,arrival,28,0006,0
2020-02-29,arrival,28,0622,50
2020-02-29,arrival,28,2200,10
2020-02-29,arrival,34,0006,0
2020-02-29,arrival,34,0622,46
2020-02-29,arrival,34,2200,0
2020-02-29,arrival,all,total,287
2020-03-01,arrival,14,0006,0
2020-03-01,arrival,14,0622,178
2020-03-01,arrival,14,2200,0
2020-03-01,arrival,16,0006,0
2020-03-01,arrival,16,0622,0
2020-03-01,arrival,16,2200,0
2020-03-01,arrival,28,0006,0
2020-03-01,arrival,28,0622,82
2020-03-01,arrival,28,2200,19
2020-03-01,arrival,34,0006,0
2020-03-01,arrival,34,0622,39
2020-03-01,arrival,34,2200,0
2020-03-01,arrival,all,total,318
2020-03-02,arrival,14,0006,0
2020-03-02,arrival,14,0622,208
2020-03-02,arrival,14,2200,0
2020-03-02,arrival,16,0006,0
2020-03-02,arrival,16,0622,0
2020-03-02,arrival,16,2200,0
2020-03-02,arrival,28,0006,0
2020-03-02,arrival,28,0622,104
2020-03-02,arrival,28,2200,6
2020-03-02,arrival,34,0006,0
2020-03-02,arrival,34,0622,14
2020-03-02,arrival,34,2200,0
2020-03-02,arrival,all,total,332
2020-03-03,arrival,14,0006,0
2020-03-03,arrival,14,0622,271
2020-03-03,arrival,14,2200,0
2020-03-03,arrival,16,0006,0
2020-03-03,arrival,16,0622,0
2020-03-03,arrival,16,2200,0
2020-03-03,arrival,28,0006,0
2020-03-03,arrival,28,0622,40
2020-03-03,arrival,28,2200,6
2020-03-03,arrival,34,0006,0
2020-03-03,arrival,34,0622,0
2020-03-03,arrival,34,2200,0
2020-03-03,arrival,all,total,317
2020-03-04,arrival,14,0006,0
2020-03-04,arrival,14,0622,275
2020-03-04,arrival,14,2200,0
2020-03-04,arrival,16,0006,0
2020-03-04,arrival,16,0622,0
2020-03-04,arrival,16,2200,0
2020-03-04,arrival,28,0006,0
2020-03-04,arrival,28,0622,27
2020-03-04,arrival,28,2200,8
2020-03-04,arrival,34,0006,0
2020-03-04,arrival,34,0622,16
2020-03-04,arrival,34,2200,0
2020-03-04,arrival,all,total,326
2020-03-05,arrival,14,0006,0
2020-03-05,arrival,14,0622,184
2020-03-05,arrival,14,2200,0
2020-03-05,arrival,16,0006,0
2020-03-05,arrival,16,0622,0
2020-03-05,arrival,16,2200,0
2020-03-05,arrival,28,0006,0
2020-03-05,arrival,28,0622,121
2020-03-05,arrival,28,2200,8
2020-03-05,arrival,34,0006,0
2020-03-05,arrival,34,0622,14
2020-03-05,arrival,34,2200,0
2020-03-05,arrival,all,total,327
2020-03-06,arrival,14,0006,0
2020-03-06,arrival,14,0622,0
2020-03-06,arrival,14,2200,0
2020-03-06,arrival,16,0006,0
2020-03-06,arrival,16,0622,0
2020-03-06,arrival,16,2200,0
2020-03-06,arrival,28,0006,0
2020-03-06,arrival,28,0622,319
2020-03-06,arrival,28,2200,11
2020-03-06,arrival,34,0006,0
2020-03-06,arrival,34,0622,0
2020-03-06,arrival,34,2200,0
2020-03-06,arrival,all,total,330
2020-03-07,arrival,14,0006,0
2020-03-07,arrival,14,0622,109
2020-03-07,arrival,14,2200,0
2020-03-07,arrival,16,0006,0
2020-03-07,arrival,16,0622,0
2020-03-07,arrival,16,2200,0
2020-03-07,arrival,28,0006,0
2020-03-07,arrival,28,0622,117
