time,lot,variable,value
2019-01-24,uszsued,daily_mean,38.4117647058824
2019-01-24,utoquai,daily_mean,77.2614379084967
2019-01-24,zueri11shopping,daily_mean,33.5294117647059
2019-01-25,accu,daily_mean,134.71875
2019-01-25,albisriederplatz,daily_mean,37.0034722222222
2019-01-25,amcentral,daily_mean,16.3958333333333
2019-01-25,bleicherweg,daily_mean,86.75
2019-01-25,centereleven,daily_mean,202.777777777778
2019-01-25,cityparking,daily_mean,360.458333333333
2019-01-25,cityport,daily_mean,67.4166666666667
2019-01-25,crowneplaza,daily_mean,150.604166666667
2019-01-25,dorflinde,daily_mean,34.7430555555556
2019-01-25,eisfeld,daily_mean,59.0173611111111
2019-01-25,feldegg,daily_mean,100.996527777778
2019-01-25,globus,daily_mean,70.8194444444445
2019-01-25,hardauii,daily_mean,96.0104166666667
2019-01-25,hauptbahnhof,daily_mean,79.2048611111111
2019-01-25,hohepromenade,daily_mean,369.413194444444
2019-01-25,horn,daily_mean,50.4965277777778
2019-01-25,jelmoli,daily_mean,97.6215277777778
2019-01-25,jungholz,daily_mean,102.347222222222
2019-01-25,maxbillplatz,daily_mean,73.1423611111111
2019-01-25,messeag,daily_mean,811.6875
2019-01-25,nordhaus,daily_mean,88.2222222222222
2019-01-25,octavo,daily_mean,73.3333333333333
2019-01-25,opera,daily_mean,129.958333333333
2019-01-25,parkhyatt,daily_mean,145.090277777778
2019-01-25,parkside,daily_mean,17.6736111111111
2019-01-25,pfingstweid,daily_mean,165.0625
2019-01-25,pwest,daily_mean,308.25
2019-01-25,stampfenbach,daily_mean,139.840277777778
2019-01-25,talgarten,daily_mean,39.2777777777778
2019-01-25,theater11,daily_mean,127.409722222222
2019-01-25,total,daily_mean,5301.62152777778
2019-01-25,total,utilization,0.427619094029503
2019-01-25,uniirchel,daily_mean,596.534722222222
2019-01-25,urania,daily_mean,240.736111111111
2019-01-25,usznord,daily_mean,78.5277777777778
2019-01-25,uszsued,daily_mean,42.9548611111111
2019-01-25,utoquai,daily_mean,80.65625
2019-01-25,zueri11shopping,daily_mean,26.46875
2019-01-26,accu,daily_mean,144.645833333333
2019-01-26,albisriederplatz,daily_mean,56.7847222222222
2019-01-26,amcentral,daily_mean,19.6180555555556
2019-01-26,bleicherweg,daily_mean,136.302083333333
2019-01-26,centereleven,daily_mean,255.034722222222
2019-01-26,cityparking,daily_mean,314.006944444445
2019-01-26,cityport,daily_mean,119.135416666667
2019-01-26,crowneplaza,daily_mean,166.274305555556
2019-01-26,dorflinde,daily_mean,41.3923611111111
2019-01-26,eisfeld,daily_mean,105.118055555556
2019-01-26,feldegg,daily_mean,121.368055555556
2019-01-26,globus,daily_mean,69.0868055555556
2019-01-26,hardauii,daily_mean,97.2777777777778
2019-01-26,hauptbahnhof,daily_mean,64.625
2019-01-26,hohepromenade,daily_mean,348.819444444445
2019-01-26,horn,daily_mean,50.6076388888889
2019-01-26,jelmoli,daily_mean,85.59375
2019-01-26,jungholz,daily_mean,111.440972222222
2019-01-26,maxbillplatz,daily_mean,81.7256944444445
2019-01-26,messeag,daily_mean,999
2019-01-26,nordhaus,daily_mean,113.149305555556
2019-01-26,octavo,daily_mean,111.329861111111
2019-01-26,opera,daily_mean,136.347222222222
2019-01-26,parkhyatt,daily_mean,183.770833333333
2019-01-26,parkside,daily_mean,34.0590277777778
2019-01-26,pfingstweid,daily_mean,208.520833333333
2019-01-26,pwest,daily_mean,337.638888888889
2019-01-26,stampfenbach,daily_mean,167.201388888889
2019-01-26,talgarten,daily_mean,40.2465277777778
2019-01-26,theater11,daily_mean,87.0173611111111
2019-01-26,total,daily_mean,6043.99652777778
2019-01-26,total,utilization,0.487497703482641
2019-01-26,uniirchel,daily_mean,712.71875
2019-01-26,urania,daily_mean,223.583333333333
2019-01-26,usznord,daily_mean,109.038194444444
2019-01-26,uszsued,daily_mean,56.4965277777778
2019-01-26,utoquai,daily_mean,105.885416666667
2019-01-26,zueri11shopping,daily_mean,29.1354166666667
2019-01-27,accu,daily_mean,150.222222222222
2019-01-27,albisriederplatz,daily_mean,64.1493055555556
2019-01-27,amcentral,daily_mean,0
2019-01-27,bleicherweg,daily_mean,177.524305555556
